Overall,Player,Position,Positional Rank,Tier,Age
1,Ja'Marr Chase,WR,1,1,26.4
2,Jaxon Smith-Njigba,WR,2,1,24.4
3,Jahmyr Gibbs,RB,1,1,24.3
4,Bijan Robinson,RB,2,1,24.4
5,Puka Nacua,WR,3,1,25.1
6,Amon-Ra St. Brown,WR,4,2,26.7
7,Justin Jefferson,WR,5,2,27.1
8,Malik Nabers,WR,6,2,22.9
9,Ashton Jeanty,RB,3,2,22.6
10,Brock Bowers,TE,1,2,23.6
11,CeeDee Lamb,WR,7,2,27.3
12,Jeremiyah Love,RB,4,2,21.1
13,Drake London,WR,8,3,25
14,Josh Allen,QB,1,3,30.1
15,Omarion Hampton,RB,5,3,23.3
16,Tetairoa McMillan,WR,9,3,23.3
17,De'Von Achane,RB,6,3,24.7
18,George Pickens,WR,10,3,25.3
19,Trey McBride,TE,2,3,26.6
20,Jonathan Taylor,RB,7,3,27.5
21,James Cook,RB,8,3,26.8
22,Emeka Egbuka,WR,11,4,23.7
23,Nico Collins,WR,12,4,27.3
24,Colston Loveland,TE,3,4,22.3
25,Drake Maye,QB,2,4,23.9
26,Luther Burden,WR,13,4,22.6
27,Chris Olave,WR,14,4,26
28,Garrett Wilson,WR,15,4,26
29,Ladd McConkey,WR,16,4,24.7
30,Lamar Jackson,QB,3,5,29.5
31,Kenneth Walker,RB,9,5,25.7
32,Jordyn Tyson,WR,17,5,21.9
33,Carnell Tate,WR,18,5,21.5
34,Jayden Daniels,QB,4,5,25.6
35,TreVeyon Henderson,RB,10,5,23.7
36,Quinshon Judkins,RB,11,5,22.6
37,Tyler Warren,TE,4,5,24.1
38,Zay Flowers,WR,19,5,25.8
39,Rome Odunze,WR,20,5,24.1
40,DeVonta Smith,WR,21,5,27.7
41,Tee Higgins,WR,22,5,27.5
42,Marvin Harrison,WR,23,6,23.9
43,Chase Brown,RB,12,6,26.3
44,Breece Hall,RB,13,6,25.1
45,Jaylen Waddle,WR,24,6,27.6
46,Christian McCaffrey,RB,14,6,30.1
47,Brian Thomas,WR,25,6,23.8
48,AJ Brown,WR,26,6,29
49,Makai Lemon,WR,27,6,22.1
50,Saquon Barkley,RB,15,6,29.4
51,Rashee Rice,WR,28,6,26.2
52,Kyren Williams,RB,16,6,25.9
53,Jameson Williams,WR,29,6,25.3
54,KC Concepcion,WR,30,6,21.8
55,Parker Washington,WR,31,7,24.3
56,Jadarian Price,RB,17,7,22.7
57,Christian Watson,WR,32,7,27.2
58,Patrick Mahomes,QB,5,7,30.8
59,Joe Burrow,QB,6,7,29.6
60,Justin Herbert,QB,7,7,28.3
61,Cam Skattebo,RB,18,7,24.4
62,Bucky Irving,RB,19,7,23.8
63,Bhayshul Tuten,RB,20,7,23.4
64,Tucker Kraft,TE,5,7,25.7
65,Jordan Addison,WR,33,7,24.5
66,Harold Fannin,TE,6,7,22
